"BC GDP by Industry - NAICS Aggregations,  1997-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions of Chained (2017) Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,
All industries,"154,315","155,817","160,987","168,580","169,520","175,973","180,365","187,742","196,743","205,806","211,786","212,989","207,463","213,022","219,107","224,740","230,141","238,306","243,846","251,036","260,220","270,106","277,848","269,190","290,178","302,119","309,420"
Goods-producing industries,"39,203","38,082","40,201","44,068","42,538","43,211","44,167","47,601","50,948","52,521","52,319","51,683","46,992","49,664","51,856","53,892","54,191","57,277","57,975","59,155","61,084","64,064","64,966","63,938","67,975","69,482","69,793"
"Agriculture, forestry, fishing and hunting","5,369","5,409","5,287","5,155","5,373","5,366","5,535","5,966","6,045","6,029","6,001","5,488","4,971","5,402","5,861","5,869","6,213","6,218","6,471","6,199","6,272","6,660","6,109","6,086","6,239","6,088","5,700"
Crop and animal production,"1,540","1,601","1,713","1,668","1,968","1,940","2,075","2,206","2,280","2,364","2,490","2,398","2,517","2,568","2,643","2,642","2,796","2,778","2,958","2,907","2,913","3,065","3,197","3,182","2,917","3,098","2,959"
Forestry and logging,"2,896","2,939","2,764","2,568","2,535","2,591","2,564","2,904","2,884","2,756","2,589","2,283","1,571","1,931","2,284","2,343","2,532","2,490","2,481","2,275","2,319","2,433","1,882","1,847","2,099","1,895","1,679"
"Fishing, hunting and trapping",413,276,215,237,196,244,240,267,255,284,227,194,203,235,223,195,224,255,254,226,214,271,197,210,200,198,174
Support activities for agriculture and forestry,776,808,762,858,793,723,774,735,759,743,761,657,663,680,761,744,735,770,804,791,826,890,876,891,986,980,"1,023"
"Mining, quarrying, and oil and gas extraction","7,548","7,420","7,566","8,342","9,355","8,618","8,467","8,865","9,910","9,940","8,658","8,904","7,973","9,071","9,737","9,446","9,706","10,277","9,954","10,213","10,370","11,194","10,664","9,623","10,262","10,775","11,314"
Oil and gas extraction,"1,667","1,442","1,618","2,057","2,238","2,026","2,122","2,172","2,409","2,504","2,335","2,239","2,179","2,405","2,865","2,434","2,541","2,708","2,773","3,062","3,311","4,098","3,763","3,901","4,050","4,467","4,639"
Mining and quarrying (except oil and gas),"5,838","6,292","5,848","5,239","6,467","6,225","4,958","5,821","6,773","5,976","4,503","5,370","4,628","5,133","5,003","5,325","5,771","6,266","6,171","6,208","5,965","5,909","5,959","4,755","5,030","4,916","5,331"
"Support activities for mining, and oil and gas extraction","1,318","1,238","1,363","1,289","1,404","1,278","1,386","1,253","1,256","1,824","1,777","1,676","1,090","1,564","1,884","1,716","1,429","1,384","1,092","1,001","1,094","1,224",972,933,"1,177","1,260","1,191"
Utilities,"3,629","3,790","4,039","4,709","3,365","4,105","4,034","4,052","4,584","3,888","4,856","4,843","4,743","4,588","5,017","5,081","4,992","5,044","5,322","5,563","5,574","5,645","5,698","5,861","5,858","5,763","5,317"
"Electric power generation, transmission and distribution","2,818","2,911","3,095","3,700","2,374","3,097","3,030","3,039","3,665","3,051","3,899","3,756","3,643","3,430","3,771","3,734","3,648","3,646","3,861","4,123","4,169","4,188","4,237","4,390","4,337","4,242","3,878"
"Natural gas distribution, water, sewage and other systems",815,880,944,999,980,"1,024","1,018","1,027",983,877,"1,029","1,128","1,131","1,171","1,262","1,355","1,352","1,407","1,468","1,440","1,405","1,457","1,461","1,470","1,522","1,524","1,444"
